timestamp px py pz qx qy qz qw
1532199864.922042847 0.134671819 0.743443811 1.773319658 -0.086317095 0.004678903 -0.049345974 0.995033890
1532199865.617922783 0.155567534 0.816405029 1.777517348 -0.068837375 0.010548257 -0.028375733 0.997168475
1532199866.411435843 0.144117787 0.920993845 1.769256737 -0.095895292 -0.002680131 -0.047191007 0.994268534
1532199866.710137367 0.148555184 0.957251777 1.775933027 -0.103770068 -0.002486524 -0.043233467 0.993658119
1532199867.949573278 0.162867332 1.073888923 1.796573605 -0.152045392 0.013780032 -0.005387492 0.988262761
1532199868.396680593 0.170002198 1.101662414 1.785760914 -0.151987067 0.020091295 0.007250995 0.988151656
1532199868.693550587 0.175156451 1.111506649 1.775829395 -0.146772744 0.027654726 0.005907207 0.988765939
1532199869.389506817 0.181945118 1.137112876 1.759078691 -0.152076366 0.052426380 0.006140623 0.986958229
1532199870.878902674 0.158130477 1.158570579 1.794861476 -0.153785896 0.043131912 0.017460365 0.987007939
1532199871.723234653 0.150040221 1.151570130 1.851976165 -0.132707573 0.040171642 0.017294896 0.990189793
1532199872.270400047 0.151021903 1.170219511 1.907760807 -0.133215219 0.030487046 -0.009598149 0.990571613
1532199872.717940092 0.150867488 1.182263617 1.952239681 -0.144766565 0.029649235 -0.027631118 0.988635467
1532199873.511219978 0.172251617 1.179116947 2.031602418 -0.107325108 0.041211212 -0.029655547 0.992926737
1532199873.661741018 0.185428961 1.183438500 2.044109222 -0.103318572 0.056850668 -0.033325041 0.992462954
1532199874.406195879 0.219829839 1.218516277 2.122115936 -0.114167272 0.088716093 -0.033334209 0.988930796
1532199874.505873680 0.224395158 1.225377835 2.137491425 -0.121260623 0.095758876 -0.024174350 0.987695145
1532199874.703204393 0.234568036 1.235766146 2.160418956 -0.129933205 0.109843163 -0.017962862 0.985255894
1532199874.754045963 0.239696168 1.238669524 2.167695512 -0.130577672 0.113284054 -0.019124493 0.984759081
1532199874.802864552 0.244039531 1.240775737 2.173413675 -0.130913159 0.116947595 -0.021506481 0.984237002
1532199874.853721619 0.247489721 1.243621857 2.180868592 -0.130688654 0.121268225 -0.024711588 0.983668557
1532199874.902553797 0.249358129 1.245669873 2.187480749 -0.129964818 0.125146246 -0.027807714 0.983195959
1532199874.951377869 0.252248662 1.247368116 2.193088989 -0.128854505 0.128290820 -0.030739584 0.982849459
1532199875.051040888 0.256464311 1.248344052 2.199788372 -0.125996366 0.133229194 -0.036815833 0.982354056
1532199875.250341415 0.262268426 1.248768598 2.213386414 -0.122608536 0.142117459 -0.044385138 0.981223590
1532199875.349905252 0.261875818 1.248414760 2.218980360 -0.121284545 0.143217318 -0.045269928 0.981187797
1532199875.449430704 0.263493192 1.247485830 2.226172729 -0.120716365 0.143007625 -0.044976413 0.981301942
1532199875.547050238 0.266536802 1.244088309 2.237562076 -0.120504720 0.141953555 -0.045234495 0.981469124
1532199875.597888231 0.267852324 1.241954359 2.243750294 -0.120048190 0.141154048 -0.044850197 0.981657999
1532199875.646718740 0.270351867 1.239626881 2.251246824 -0.119496260 0.140697852 -0.044116910 0.981824046
1532199875.697568893 0.270683026 1.237487107 2.259232640 -0.118934946 0.140290166 -0.043514853 0.981977396
1532199875.746396542 0.270951632 1.234601576 2.265979799 -0.118110134 0.139699534 -0.042851818 0.982190286
1532199875.795217276 0.270541117 1.232833405 2.270551444 -0.117010554 0.138883573 -0.041856335 0.982480499
1532199875.846094131 0.270618470 1.229945092 2.275158807 -0.116020891 0.137917208 -0.039945995 0.982813469
1532199875.945769787 0.270239977 1.223898791 2.286282905 -0.115346022 0.135105438 -0.036091456 0.983432368
1532199875.994595289 0.269567026 1.221184255 2.292105898 -0.114944283 0.133664245 -0.034445380 0.983735329
1532199876.242723227 0.265976345 1.211514853 2.321197600 -0.113086207 0.127738948 -0.031718543 0.984829023
1532199876.293567181 0.265039340 1.211424964 2.328570518 -0.114025883 0.127584836 -0.033651465 0.984676488
