Left [ns] , Right [ns] , Common [ns]
1579097787227627700,1579097787227709100,1579097787227668480
1579097787294856600,1579097787294938000,1579097787294897408
1579097787362045400,1579097787362126800,1579097787362086144
1579097787427226000,1579097787427307400,1579097787427266816
1579097787494422300,1579097787494503700,1579097787494462976
1579097787561622500,1579097787561703900,1579097787561663232
1579097787626789800,1579097787626871200,1579097787626830592
1579097787693982300,1579097787694063700,1579097787694022912
1579097787761175400,1579097787761256800,1579097787761216000
1579097787828370400,1579097787828451800,1579097787828411136
1579097787893540900,1579097787893622300,1579097787893581568
1579097787960737500,1579097787960818900,1579097787960778240
1579097788027921500,1579097788028002900,1579097788027962112
1579097788093085400,1579097788093166800,1579097788093126144
1579097788160272600,1579097788160354000,1579097788160313344
1579097788227504600,1579097788227586000,1579097788227545344
1579097788294687300,1579097788294768800,1579097788294727936
1579097788359854700,1579097788359936100,1579097788359895296
1579097788427108800,1579097788427190200,1579097788427149568
1579097788494295100,1579097788494376500,1579097788494335744
1579097788559454000,1579097788559535400,1579097788559494656
1579097788626632500,1579097788626714000,1579097788626673152
1579097788693808800,1579097788693890300,1579097788693849600
1579097788760991900,1579097788761073400,1579097788761032704
1579097788826159800,1579097788826241300,1579097788826200576
1579097788893355000,1579097788893436500,1579097788893395712
1579097788960546100,1579097788960627600,1579097788960586752
1579097789025708900,1579097789025790400,1579097789025749760
1579097789092890300,1579097789092971700,1579097789092931072
1579097789160095300,1579097789160176700,1579097789160135936
1579097789227270900,1579097789227352400,1579097789227311616
1579097789292426900,1579097789292508400,1579097789292467712
1579097789359591700,1579097789359673200,1579097789359632384
1579097789426824000,1579097789426905500,1579097789426864640
1579097789492002800,1579097789492084200,1579097789492043520
1579097789559209800,1579097789559291300,1579097789559250432
1579097789626419400,1579097789626500900,1579097789626460160
1579097789693633100,1579097789693714500,1579097789693673728
1579097789758823400,1579097789758904800,1579097789758864128
1579097789826033000,1579097789826114400,1579097789826073600
1579097789893241900,1579097789893323400,1579097789893282560
1579097790025620600,1579097790025702100,1579097790025661440
1579097790092818000,1579097790092899500,1579097790092858624
1579097790160018400,1579097790160099900,1579097790160059136
1579097790225196500,1579097790225278000,1579097790225237248
1579097790292403000,1579097790292484500,1579097790292443648
1579097790359634300,1579097790359715800,1579097790359675136
1579097790491965500,1579097790492047000,1579097790492006144
1579097790559149900,1579097790559231400,1579097790559190528
1579097790626379800,1579097790626461300,1579097790626420480
1579097790691513000,1579097790691594500,1579097790691553792
1579097790758740400,1579097790758821900,1579097790758781184
1579097790825909100,1579097790825990600,1579097790825949952
1579097790958231600,1579097790958313100,1579097790958272256
1579097791025452900,1579097791025534400,1579097791025493760
1579097791092651400,1579097791092732900,1579097791092692224
1579097791157821300,1579097791157902800,1579097791157862144
1579097791224997900,1579097791225079400,1579097791225038592
1579097791292180900,1579097791292262500,1579097791292221696
1579097791424583800,1579097791424665300,1579097791424624640
1579097791491790700,1579097791491872300,1579097791491831552
1579097791559001300,1579097791559082800,1579097791559042048
1579097791624180300,1579097791624261800,1579097791624220928
1579097791691386700,1579097791691468300,1579097791691427584
1579097791758587400,1579097791758669000,1579097791758628096
1579097791890941100,1579097791891022700,1579097791890981888
1579097791958136100,1579097791958217600,1579097791958176768
1579097792025319700,1579097792025401200,1579097792025360384
1579097792090480200,1579097792090561700,1579097792090520832
1579097792157651600,1579097792157733200,1579097792157692416
1579097792224825900,1579097792224907400,1579097792224866560
1579097792357139500,1579097792357221100,1579097792357180416
1579097792424308700,1579097792424390200,1579097792424349440
1579097792491468300,1579097792491549900,1579097792491508992
1579097792556611200,1579097792556692800,1579097792556652032
1579097792623767500,1579097792623849100,1579097792623808256
1579097792690939500,1579097792691021100,1579097792690980352
1579097792758152700,1579097792758234300,1579097792758193408
1579097792823271100,1579097792823352700,1579097792823311872
1579097792890472000,1579097792890553600,1579097792890512896
1579097792957645200,1579097792957726800,1579097792957686016
1579097793022789800,1579097793022871400,1579097793022830592
1579097793089968000,1579097793090049600,1579097793090008832
1579097793157139200,1579097793157220800,1579097793157179904
1579097793224314000,1579097793224395600,1579097793224354816
1579097793289460600,1579097793289542200,1579097793289501440
1579097793356641900,1579097793356723500,1579097793356682752
1579097793423826200,1579097793423907800,1579097793423866880
1579097793488986900,1579097793489068600,1579097793489027840
1579097793556160800,1579097793556242500,1579097793556201728
